"taxon","KCl (500mM)","KCl (1000mM)","KCl (1500mM)","NaCl (250mM)","NaCl (500mM)","NaCl (1000mM)","4°C","16°C","30°C","40°C","Ethanol (5% v/v)","Ethanol 7% v/v","Ethanol 9% v/v","Ethanol 10% v/v","Ethanol 11% v/v","Ethanol 12% v/v","Sulfite (1,5mM)","Sulfite (2,25mM)","Sulfite (3,0mM)","Glucose (46%)","Sorbitol (46%)","Glucose (48%)","Sorbitol (48%)","Glucose (50%)","Sorbitol (50%)","Copper (0.075mM)","Cadmium (0.3mM)","Cadmium (0.4mM)","Cadmium (0.5mM)","Actidione (0,2 mg/L)","Actidione (0,4 mg/L)","Actidione (0,5 mg/L)","Acetic acid (50mM)","Acetic acid (75mM)","Acetic acid (100mM)","Levulinic acid (25mM)","Levulinic acid (50mM)","Levulinic acid (75mM)","Formic acid (25mM)","Formic acid (50mM)","Formic acid (75mM)","Glycerol (20°C)","Melibiose (20°C)","Sorbitol (20°C)","Ethanol (20°C)","Galactose (20°C)","Fructose (20°C)","Sucrose (20°C)","Maltose (20°C)","Maltose (liquid)","Maltotriose (liquid)","Glucose (10°C)","Ethanol (10°C)","Fructose (10°C)","Sucrose (10°C)","Maltose (10°C)","Glucose (39°C)","Ethanol (39°C)","Fructose (39°C)","Sucrose (39°C)","Maltose (39°C)","Lysine","Ethyl propionate","Ethyl butyrate","Ethyl hexanoate","Ethyl octanoate","Ethyl decanoate","Propyl acetate","Isobutyl acetate","Ethyl acetate","Isoamyl acetate","Phenyl ethyl acetate","Phenyl ethanol","Butanol","Isoamyl alcohol","Isobutanol","POF","Acetaldehyde","Flocculation","Ethanol production (%v/v)","Sporulation efficiency","Spore viability"
"BE001",1.827,1.422,0.026,-0.639,-0.62,-0.363,-0.466,1.641,2.235,-1.022,1.824,1.709,-0.936,-0.669,-0.91,-0.792,0.26,-0.348,-0.441,-0.824,-0.624,-0.61,-0.558,-0.443,-0.451,-0.045,0.167,0.048,-0.302,-0.645,-0.382,-0.341,-0.309,-0.395,-0.875,0.234,0.246,-0.836,-1.943,-1.501,-0.632,-0.949,-0.761,-0.826,1.685,0.743,1.465,0.745,1.55,0.322,0.431,-1.084,-0.628,-0.015,-0.37,-0.874,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,2.252,-1.293,-0.566,-0.967,0.091,-0.929,0.668,0.685,0.378,-1.085,-0.529,-0.45,1.13,0.883,-0.922,-0.335,-0.584,-2.156,-1.223,-0.819
"BE002",-0.569,-0.286,-0.326,0.382,0.845,0.175,-0.466,0.524,0.047,-0.927,1.335,1.241,0.41,0.517,0.435,0.681,1.335,1.638,0.38,0.135,0.849,-0.418,-0.264,-0.443,-0.451,-0.593,0.729,-0.051,-0.6,-0.528,-0.382,-0.341,-0.642,-0.439,-0.875,-0.148,-0.235,-0.635,-0.335,-0.82,-0.632,0.235,1.735,0.352,0.287,-0.334,0.903,-0.883,1.36,0.117,0.173,1.191,-1.007,0.778,-1.35,-0.488,-1.158,-0.539,-1.051,-1.18,-0.582,0.191,0.176,-1.293,1.025,0.264,1.998,1.286,0.01,1.413,0.741,0.963,-0.035,-1.273,-0.124,-0.458,-0.922,-0.61,-0.584,-1.792,0.738,-0.655
"BE003",-0.818,-0.457,-0.271,0.455,-0.033,-0.363,-0.466,0.485,0.19,-0.755,0.939,-0.135,-0.352,-0.437,-0.833,-0.792,-0.24,-0.717,-0.441,-0.345,0.151,-0.162,0.03,-0.24,0.03,-1.058,-0.677,-0.794,-0.66,-0.345,2.087,-0.039,0.614,0.183,-0.875,-2.182,-1.551,-0.836,-0.211,-0.95,-0.632,-0.135,0.367,-0.163,-0.041,-3.005,-0.124,-0.691,-0.45,-1.232,0.395,-0.479,-0.032,-0.922,-0.963,-0.139,-0.799,-0.244,-0.827,-0.785,-0.564,0.191,-1.286,-1.293,-0.261,0.561,0.935,-0.929,-0.277,-0.836,0.36,1.456,0.956,-1.82,-0.063,-0.235,1.078,-0.49,-0.584,-1.85,-1.223,-0.819
"BE004",-0.211,-0.056,0.014,1.788,1.836,0.247,-0.466,0.12,-0.031,1.485,1.203,1.898,2.211,1.646,0.541,0.253,1.535,0.23,-0.441,-0.681,-0.314,-0.546,-0.411,-0.443,-0.451,1.624,0.006,-0.596,-0.72,-0.512,-0.382,-0.341,1.611,2.187,2.699,1.112,1.128,1.355,1.089,1.375,0.977,0.574,0.094,0.399,0.609,0.597,0.908,1.16,1.19,0.073,-1.478,0.547,0.938,2.897,1.629,-0.585,1.374,1.945,0.902,0.944,1.498,0.191,0.6,0.158,-0.158,-0.449,0.942,-0.929,-0.776,-0.455,-0.596,-0.334,-0.089,-1.394,0.22,-0.25,1.078,-0.401,-0.584,0.216,0.582,-0.819
"BE005",0.953,0.933,0.581,-0.107,-0.62,-0.363,-0.466,0.063,1.054,1.317,0.158,0.651,0.401,-0.314,-0.482,-0.64,0.056,-0.687,-0.441,0.567,0.616,-0.29,-0.117,-0.341,-0.451,1.296,-1.44,-1.091,-0.78,1.906,2.019,1.901,0.552,0.498,0.561,0.796,0.86,1.688,0.433,0.458,-0.632,0.115,-0.246,0.03,0.412,0.068,0.681,-0.211,1.49,-0.613,-1.478,-0.43,0.827,0.443,0.475,1.864,1.169,0.321,0.743,0.944,1.479,0.191,-0.93,-1.293,0.165,-0.898,1.497,-0.929,-0.493,-0.352,-0.53,-0.525,-0.616,-1.101,-0.477,-0.322,-0.922,-0.177,-0.584,0.321,0.893,0.336
"BE006",0.231,0.123,0.515,-0.571,-0.62,-0.363,-0.466,-0.025,-0.539,0.578,0.213,0.133,-0.001,-0.138,-0.099,-0.563,0.742,0.249,-0.441,0.231,0.616,0.222,0.323,-0.138,0.03,1.679,-0.677,-0.745,-0.72,2.648,2.655,2.136,0.515,1.205,0.875,0.462,0.13,0.755,0.485,0.503,-0.632,0.61,-0.096,0.386,-0.095,0.242,0.167,0.015,0.16,0.05,0.948,-0.822,0.599,0.011,0.251,1.263,-0.271,1.481,0.479,0.776,1.009,0.191,-0.542,-1.293,0.997,0.815,4.831,1.012,1.062,0.956,0.745,0.311,-0.122,-0.984,0.282,0.28,1.078,-0.255,-0.584,0.544,0.613,1.479
"BE007",-0.719,-0.714,-1.146,-0.641,-0.62,-0.363,-0.466,-0.722,-0.008,-1.022,-1.134,-1.561,-1.081,-0.943,-0.91,-0.792,-1.109,-0.717,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-1.52,-0.398,-0.78,-0.645,-0.382,-0.341,1.611,-1.069,-0.875,-0.857,-1.551,-0.836,1.089,0.834,2.143,-1.649,-1.517,-1.471,-0.293,-0.116,-0.052,-0.996,-0.14,0.758,1.017,-1.084,-1.007,-0.689,-1.01,-1.068,-1.307,-0.539,-1.66,-1.537,-1.105,0.191,0.36,-1.293,-0.521,0.255,-0.029,-0.929,-1.234,-1.076,-1.281,-1.085,-0.46,-0.958,-0.814,0.002,-0.922,-0.618,-0.584,-1.029,-1.223,-0.819
"BE008",0.232,0.377,-0.519,-0.727,-0.62,-0.363,-0.466,0.948,0.548,-0.984,0.287,0.156,-1.081,-0.943,-0.91,-0.792,-1.294,-0.717,-0.441,-0.728,-0.624,-0.61,-0.558,-0.443,-0.451,0.256,-0.275,-0.992,-0.78,-0.645,-0.382,-0.341,1.063,0.067,-0.875,-0.684,-1.551,-0.836,-1.094,0.225,-0.632,-1.209,-1.159,-1.111,-0.607,0.151,-0.533,-0.256,0.77,0.859,0.632,-0.779,0.231,-0.837,-0.699,-0.321,-1.062,-0.539,-0.843,-1.04,-0.743,0.191,-0.338,-1.293,-0.833,-0.125,0.492,-0.929,0.42,0.034,0.302,0.379,0.341,-1.183,0.775,0.271,-0.922,-0.022,0.039,-1.052,0.177,-0.819
"BE009",0.514,0.571,-1.51,-0.885,-0.62,-0.363,-0.466,-0.465,0.373,-0.89,-0.371,0.436,-0.918,-0.943,-0.91,-0.792,0.518,-0.076,-0.441,-0.824,-0.779,-0.61,-0.558,-0.443,-0.451,-0.921,-1.561,-0.844,-0.481,-0.645,-0.382,-0.341,0.345,0.915,-0.875,0.312,0.535,0.824,0.983,-0.113,-0.632,0.139,0.729,0.173,0.017,0.122,0.037,0.033,0.5,0.859,1.017,-0.684,0.728,-0.585,0.062,0.421,0.997,-0.539,0.399,0.688,-0.91,0.191,-1.293,-1.293,-1.161,-1.581,-0.319,-0.929,-1.217,-1.703,-1.199,-1.085,-1.004,-2.165,-1.025,-0.295,-0.922,-0.367,1.285,-0.665,0.084,-0.819
"BE010",1.769,1.403,0.928,-0.609,-0.62,-0.363,-0.466,0.18,1.638,1.038,-0.011,0.851,-0.473,-0.943,-0.91,-0.792,0.226,-0.717,-0.441,-0.681,-0.779,-0.61,-0.558,-0.443,-0.451,-1.058,-1.48,-0.794,-0.78,-0.645,-0.382,-0.341,0.064,-1.19,-0.875,0.384,0.284,-0.836,-0.22,-0.81,-0.632,0.576,0.73,0.588,0.368,0.954,-0.161,-0.589,0.92,0.188,0.718,-1.084,-0.791,-0.485,-0.536,-0.033,1.654,-0.539,0.324,0.296,-1.105,0.191,0.664,-1.293,-0.968,-1.367,-0.153,-0.929,0.89,-0.028,0.434,-0.354,-0.316,-0.99,0.587,0.591,-0.922,-0.271,0.662,-1.369,0.053,-0.162
